"p.geomean"	"stat.mean"	"p.val"	"q.val"	"set.size"	"exp1"
"GO:1990837"	1.24420708677006e-08	5.64698229537057	1.24420708677006e-08	4.22159464541081e-05	394	1.24420708677006e-08
"GO:0045892"	3.60772913910787e-08	5.44871949122827	3.60772913910786e-08	6.12051248449649e-05	407	3.60772913910787e-08
"GO:0003700"	6.63056798566207e-08	5.32549734673067	6.63056798566205e-08	7.49917239178378e-05	469	6.63056798566207e-08
"GO:0043565"	5.22109366154101e-07	4.93910952675141	5.22109366154098e-07	0.000442879269840214	343	5.22109366154101e-07
"GO:0001228"	1.65627143624758e-06	4.70159601829262	1.65627143624757e-06	0.0011239457966376	324	1.65627143624758e-06
"GO:0008134"	1.72744436684207e-05	4.19105273244181	1.72744436684207e-05	0.00976869789449192	240	1.72744436684207e-05
"GO:0007399"	2.80725162261968e-05	4.05168162871209	2.80725162261968e-05	0.0136071496507837	440	2.80725162261968e-05
"GO:0005667"	5.99549918238215e-05	3.90638417202579	5.99549918238217e-05	0.0254284109072784	166	5.99549918238215e-05
"GO:0000977"	0.000126182290204058	3.69560907319239	0.000126182290204058	0.0475707234069297	229	0.000126182290204058
"GO:0000165"	0.000335715457840085	3.42937337290993	0.000335715457840086	0.113908254845141	230	0.000335715457840085
"GO:0000987"	0.000484271767026754	3.41708177752162	0.000484271767026754	0.143641859693983	61	0.000484271767026754
"GO:0009887"	0.000508017187246624	3.338363756555	0.000508017187246624	0.143641859693983	122	0.000508017187246624
"GO:0009952"	0.00056040319704468	3.33867407185366	0.00056040319704468	0.146265234428661	82	0.00056040319704468
"GO:0070936"	0.000673826551339471	3.34767248906598	0.000673826551339471	0.163306677763916	48	0.000673826551339471
"GO:0001227"	0.000942587779647198	3.13560357997484	0.0009425877796472	0.213213355756197	183	0.000942587779647199
"GO:0061631"	0.00102093207319608	3.38297744266326	0.00102093207319608	0.216501407772143	23	0.00102093207319608
