chr	type	size	est_1.1	est_1.2	est_2.1	est_2.2	est_3.1	est_3.2	est_4.1	est_4.2	mean	sd
1		macro	156035725	124716232	132023269	132064072	140197050	189644645	184393699	134626955	126998453	145583047	26033432.93
2		macro	119023421	98396708	96623156	141281448	147400545	142691415	119245329	100567303	99170535	118172055	22415250.09
3		macro	116801625	104143019	97829171	95117115	86519395	121260227	122053975	106154375	100137528	104151851	12339331.91
Z		macro	90132487	96339387	94565834	82569092	93180692	107339113	105079985	97343992	95839780	96532234	7569650.036
4		macro	76187387	68601022	74347333	81639608	85202627	92929540	96409818	69086299	75103146	80414924	10486800.34
5		macro	73257097	78674801	65692395	83266204	67464989	92257907	77665161	78433901	66185319	76205085	9320124.733
6		macro	63258489	58598184	54909194	56698476	59177098	59836366	63621932	59416366	55548393	58475751	2781945.522
7	inter	38459648	46679909	49375709	44925022	48410584	45426792	52570521	47060340	50068764	48064705	2560680.641
8	inter	36085389	37599319	41146425	37798984	42523857	29857125	34314324	37390407	41473268	37762964	4182319.081
9	inter	31262510	33059024	34548808	34778163	36792044	32421541	32055196	34704315	34919202	34159787	1558305.244
10	inter	25880253	24829739	26106697	30750403	30285661	28208572	35840762	25679044	33200103	29362623	3882546.101
11	inter	21491857	34619750	33059024	30827860	32222085	25460984	28635975	32662885	24497163	30248216	3696818.041
12	inter	20890524	19438138	19509081	26257901	29278721	22224936	27597997	19447310	19877084	22953896	4123263.951
13	inter	20272128	23056186	24475028	22927252	22539968	18683600	19049945	23315283	23745058	22224040	2153655.798
14	micro	18810845	22985244	20289444	19209320	20526087	14898034	18195140	22025958	19554753	19710498	2473206.01
15	micro	16541138	20005675	19083428	20371174	18279836	18256197	20820613	20199416	19124979	19517665	970668.0693
16	micro	15277844	19438138	22488649	15568844	18047466	16973989	15508609	21381296	18587760	18499344	2540320.03
17	micro	13985943	22062997	21424518	19209320	18822035	16180242	17706680	21381296	22348289	19891922	2251248.72
18	micro	12073725	22488649	21992054	16885612	17272896	12822078	14287459	20091972	22778064	18577348	3835705.178
19	micro	11382101	16529512	20147560	16033585	18899492	12394676	12150446	19124979	20091972	16921528	3238700.518
20	micro	11194341	19296254	16387628	15259016	15878671	10257663	11234583	19662197	19984528	15995068	3713891.162
21	micro	9617204	19296254	20005675	18202379	14794274	12089388	9830260	15257005	20414303	16236192	3894416.65
22	micro	7507825	15536322	20502270	14019705	15104102	10562950	11967273	15471893	17620767	15098160	3103760.321
23	micro	7098401	19580023	18232123	17970009	13167679	10501893	12211503	19554753	15471893	15836235	3525102.194
24	micro	6843954	18303065	16600454	15104102	18434750	10318720	9402857	17943098	16653773	15345102	3565037.651
25	micro	6778862	17593644	19225312	15104102	14794274	10807180	10562950	17405879	19339866	15604151	3455911.453
26	micro	5553549	16103859	19296254	10689057	12238196	7632190	9586030	15901668	18695204	13767807	4339271.423
28	micro	5297670	12202043	15891033	13632420	11076342	8914397	9463915	12356025	15471893	12376009	2555143.468
27	micro	5236451	17522701	12627696	13167679	13322593	8120650	7815362	15579336	12785800	12617727	3315417.236
29	micro	2102120	12982406	16813280	12160739	12702937	7449017	8364880	16653773	16868661	12999462	3702284.272
30	micro	1648998	13479001	13124291	12005825	10843971	7326902	7143729	11711363	12033694	10958597	2438307.641
31	micro	1590086	12485812	12343927	6971124	11541083	5861522	8059592	13645350	13323019	10528929	3075418.045
32	micro	784579	14968785	14755959	10998885	12315652	9097570	6594212	12033694	11496476	11532654	2768828.53
34	micro	606149	14046538	14046538	6816210	8907547	5983637	8059592	13645350	14504899	10751289	3645789.718
35	micro	523230	10570375	11918275	6119098	6816210	4945659	5312004	9669933	11496476	8356004	2864893.178
33	micro	437724	11350738	9577185	9139918	9527203	6227867	5983637	12893244	9240158	9242494	2320233.91
36	micro	338027	9009648	12982406	8442806	8597720	4274026	5312004	8380609	10744370	8467949	2762760.843
37	micro	276370	10570375	6526674	6816210	7048581	3419221	3480278	6016847	6446622	6290601	2250873.377
38	micro	220485	7803632	6384790	9062461	5809270	2991818	2625473	7735946	9562489	6496985	2590688.632
39	micro	65965	3192395	4965948	5731813	8442806	1099035	2137013	2363761	4620079	4069106	2367423.914
