variable	genes	perc						
all	16801	92.63895015						
bHirRus1	236	1.301279224						
2_3_4_A1	151	0.832598147						
2_4_A1_a2	103	0.567931187						
3_4_A1_A2	89	0.490736656						
2_3_A1_A2	85	0.468681076						
2_3_4_A2	66	0.363917071						
2_4_A1	48	0.264666961						
A1	46	0.253639171						
2_3_A1	41	0.226069696						
2_A1	41	0.226069696						
2_A1_A2	40	0.220555801						
3_4_A2	39	0.215041906						
3	32	0.17644464						
2	25	0.137847375						
4	24	0.13233348						
A2	23	0.126819585						
A1_A2	23	0.126819585						
2_3_4	21	0.115791795						
3_4_A1	21	0.115791795						
2_4	21	0.115791795						
2_3_A2	20	0.1102779						
2_4_A2	18	0.09925011						
4_A1	18	0.09925011						
3_A1_A2	16	0.08822232						
3_A1	16	0.08822232						
2_3	15	0.082708425						
2_A2	13	0.071680635						
4_A2	13	0.071680635						
4_A1_A2	12	0.06616674						
3_4	11	0.060652845						
3_A2	8	0.04411116						
raw_reads	79	0.419056021						
