ensembl_gene_id	external_gene_name	hsapiens_homolog_ensembl_gene	hsapiens_homolog_associated_gene_name	hsapiens_homolog_ensembl_peptide	hsapiens_homolog_chromosome	hsapiens_homolog_chrom_start	hsapiens_homolog_chrom_end	hsapiens_homolog_canonical_transcript_protein	hsapiens_homolog_subtype	hsapiens_homolog_orthology_type	hsapiens_homolog_perc_id	hsapiens_homolog_perc_id_r1	hsapiens_homolog_goc_score	hsapiens_homolog_wga_coverage	hsapiens_homolog_orthology_confidence
ENSTGUG00000000042	CHPF2	ENSG00000033100	CHPF2	ENSP00000035307	7	151232489	151238827	ENSTGUP00000000042	Tetrapoda	ortholog_one2one	66.7112	64.6373	50	99.92	1
ENSTGUG00000000054	ASB10	ENSG00000146926	ASB10	ENSP00000391137	7	151175698	151187832	ENSTGUP00000022972	Amniota	ortholog_one2one	49.7881	50.3212	100	88.59	1
ENSTGUG00000000055	AGAP3	ENSG00000133612	AGAP3	ENSP00000380413	7	151085831	151144436	ENSTGUP00000019769	Tetrapoda	ortholog_one2one	63.2258	75.3019	100	97.01	1
ENSTGUG00000000066	FASTK	ENSG00000164896	FASTK	ENSP00000297532	7	151076593	151080866	ENSTGUP00000000070	Amniota	ortholog_one2one	28.1576	44.2623	100	61.46	1
ENSTGUG00000000073	SLC4A2	ENSG00000164889	SLC4A2	ENSP00000405600	7	151057210	151076526	ENSTGUP00000000078	Amniota	ortholog_one2one	75.0202	74.7784	100	97.89	1
ENSTGUG00000000112	DHX30	ENSG00000132153	DHX30	ENSP00000405620	3	47802909	47850195	ENSTGUP00000035167	Amniota	ortholog_one2one	68.2264	75.7119	75	92.43	1
ENSTGUG00000000119	SMARCC1	ENSG00000173473	SMARCC1	ENSP00000254480	3	47585269	47782106	ENSTGUP00000000142	Amniota	ortholog_one2one	85.7661	85.6109	100	93.98	1
ENSTGUG00000000144	ELP6	ENSG00000163832	ELP6	ENSP00000296149	3	47495640	47513712	ENSTGUP00000000149	Amniota	ortholog_one2one	56.8493	62.406	100	88.99	1
ENSTGUG00000001502	PCDH18	ENSG00000189184	PCDH18	ENSP00000355082	4	137518918	137532494	ENSTGUP00000001547	Amniota	ortholog_one2one	85.8907	85.815	25	100	1
ENSTGUG00000001504	SLC7A11	ENSG00000151012	SLC7A11	ENSP00000280612	4	138164097	138242349	ENSTGUP00000001556	Amniota	ortholog_one2one	82.7038	83.0339	50	99.17	1
ENSTGUG00000001513	BMP2K	ENSG00000138756	BMP2K	ENSP00000424668	4	78776342	78916365	ENSTGUP00000036327	Amniota	ortholog_one2one	62.352	68.0448	50	83.87	1
ENSTGUG00000001520	PAQR3	ENSG00000163291	PAQR3	ENSP00000421981	4	78887127	78939438	ENSTGUP00000001566	Amniota	ortholog_one2one	89.7106	89.7106	75	99.79	1
ENSTGUG00000001523	ANTXR2	ENSG00000163297	ANTXR2	ENSP00000385575	4	79901146	80125454	ENSTGUP00000001573	Amniota	ortholog_one2one	55.1181	71.7213	100	90.01	1
ENSTGUG00000001533	BMP3	ENSG00000152785	BMP3	ENSP00000282701	4	81030708	81057627	ENSTGUP00000001585	Amniota	ortholog_one2one	57.7731	58.2627	50	100	1
ENSTGUG00000001551	AREG	ENSG00000109321	AREG	ENSP00000379097	4	74445136	74455005	ENSTGUP00000001600	Amniota	ortholog_one2one	40.5128	31.3492	50	54.6	1
ENSTGUG00000001555	USO1	ENSG00000138768	USO1	ENSP00000444850	4	75724577	75814286	ENSTGUP00000001605	Amniota	ortholog_one2one	79.4956	75.3638	0	86.7	1
ENSTGUG00000001561	G3BP2	ENSG00000138757	G3BP2	ENSP00000352738	4	75641849	75724589	ENSTGUP00000001617	Amniota	ortholog_one2one	92.9461	92.9461	25	100	1
ENSTGUG00000001572	ALB	ENSG00000163631	ALB	ENSP00000295897	4	73397114	73421482	ENSTGUP00000033723	Amniota	ortholog_one2one	46.0163	46.4696	50	85.04	1
ENSTGUG00000001580	ANKRD17	ENSG00000132466	ANKRD17	ENSP00000351416	4	73073376	73258798	ENSTGUP00000001635	Amniota	ortholog_one2one	92.5643	88.4748	75	97.32	1
ENSTGUG00000001593	ADAMTS3	ENSG00000156140	ADAMTS3	ENSP00000286657	4	72280969	72569221	ENSTGUP00000001658	Vertebrata	ortholog_one2one	76.7462	74.7718	50	98.55	1
ENSTGUG00000001611	SLC4A4	ENSG00000080493	SLC4A4	ENSP00000264485	4	71062667	71572087	ENSTGUP00000021670	Vertebrata	ortholog_one2one	89.228	92.1223	50	97.6	1
ENSTGUG00000001636	DCK	ENSG00000156136	DCK	ENSP00000286648	4	70992538	71030914	ENSTGUP00000001685	Amniota	ortholog_one2one	75.0973	74.2308	75	100	1
ENSTGUG00000001644	GRSF1	ENSG00000132463	GRSF1	ENSP00000254799	4	70815783	70839897	ENSTGUP00000026128	Amniota	ortholog_one2one	46.6513	42.0833	100	57.03	1
ENSTGUG00000001653	RUFY3	ENSG00000018189	RUFY3	ENSP00000370394	4	70704204	70808619	ENSTGUP00000019780	Vertebrata	ortholog_one2one	70.3313	75.3226	100	85.82	1
ENSTGUG00000001660	UTP3	ENSG00000132467	UTP3	ENSP00000254803	4	70688532	70690551	ENSTGUP00000001708	Amniota	ortholog_one2one	45.4191	48.643	50	84.06	1
ENSTGUG00000001661	JCHAIN	ENSG00000132465	JCHAIN	ENSP00000254801	4	70655541	70681817	ENSTGUP00000026572	Amniota	ortholog_one2one	41.8994	47.1698	50	83.08	1
ENSTGUG00000001665	SDAD1	ENSG00000198301	SDAD1	ENSP00000348596	4	75940950	75990962	ENSTGUP00000001719	Vertebrata	ortholog_one2one	83.2612	83.9884	50	99.01	1
ENSTGUG00000001671	NAAA	ENSG00000138744	NAAA	ENSP00000286733	4	75913660	75941013	ENSTGUP00000030012	Amniota	ortholog_one2one	47.2222	47.3538	25	84.65	1
ENSTGUG00000001676	PPEF2	ENSG00000156194	PPEF2	ENSP00000286719	4	75859864	75902571	ENSTGUP00000001735	Amniota	ortholog_one2one	65.7061	60.5578	50	79.61	1
ENSTGUG00000001685	NUP54	ENSG00000138750	NUP54	ENSP00000264883	4	76114659	76148444	ENSTGUP00000018924	Amniota	ortholog_one2one	68.3969	88.3629	50	89.75	1
ENSTGUG00000001690	SCARB2	ENSG00000138760	SCARB2	ENSP00000264896	4	76158737	76234536	ENSTGUP00000036909	Amniota	ortholog_one2one	57.8838	58.3682	75	83.85	1
ENSTGUG00000001694	STAC	ENSG00000144681	STAC	ENSP00000273183	3	36380503	36548007	ENSTGUP00000001746	Amniota	ortholog_one2one	77.5309	78.1095	100	100	1
ENSTGUG00000001695	SHROOM3	ENSG00000138771	SHROOM3	ENSP00000296043	4	76435229	76783253	ENSTGUP00000031316	Amniota	ortholog_one2one	44.4776	44.7896	100	79.44	1
ENSTGUG00000001697	ARPP21	ENSG00000172995	ARPP21	ENSP00000506922	3	35638945	35794496	ENSTGUP00000032272	Amniota	ortholog_one2one	80.3991	80.8737	100	98.6	1
ENSTGUG00000001707	SEPTIN11	ENSG00000138758	SEPTIN11	ENSP00000264893	4	76949751	77040384	ENSTGUP00000028973	Amniota	ortholog_one2one	87.2881	96.0373	100	93.71	1
ENSTGUG00000001723	CCNI	ENSG00000118816	CCNI	ENSP00000237654	4	77047155	77076309	ENSTGUP00000022562	Amniota	ortholog_one2one	63.913	77.9841	100	91.5	1
ENSTGUG00000001728	CCNG2	ENSG00000138764	CCNG2	ENSP00000315743	4	77157207	77433388	ENSTGUP00000001788	Amniota	ortholog_one2one	79.5858	78.1977	100	88.04	1
ENSTGUG00000001731	CLASP2	ENSG00000163539	CLASP2	ENSP00000507498	3	33496245	33718356	ENSTGUP00000001805	Amniota	ortholog_one2one	87.7841	82.0717	100	94.99	1
ENSTGUG00000001737	CNOT6L	ENSG00000138767	CNOT6L	ENSP00000497467	4	77713387	77819615	ENSTGUP00000001791	Amniota	ortholog_one2one	91.9861	96	75	98.69	1
