chr	start	end
chr1	1	156035725
chr2	1	119023421
chr3	1	116801625
chr4	1	76187387
chr5	1	73257097
chr6	1	63258489
chr7	1	38459648
chr8	1	36085389
chr9	1	31262510
chr10	1	25880253
chr11	1	21491857
chr12	1	20890524
chr13	1	20272128
chr14	1	18810845
chr15	1	16541138
chr16	1	15277844
chr17	1	13985943
chr18	1	12073725
chr19	1	11382101
chr20	1	11194341
chr21	1	9617204
chr22	1	7507825
chr23	1	7098401
chr24	1	6843954
chr25	1	6778862
chr26	1	5553549
chr27	1	5236451
chr28	1	5297670
chr29	1	2102120
chr30	1	1648998
chr31	1	1590086
chr32	1	784579
chr33	1	437724
chr34	1	606149
chr35	1	523230
chr36	1	338027
chr37	1	276370
chr38	1	196637
Z	1	90132487
W	1	31704074
